Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Alyeska Resort,0,0,0,0,1,Alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,150,150,1,550,,,,60,669,65,85,http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,,,,,,
Eaglecrest Ski Area,1,0,0,1,0,Alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,90,67.5,1,,,,,44,350,47,53,http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,,,,,,
Hilltop Ski Area,0,0,0,0,0,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,152,151,1,30,,,,36,69,30,34,http://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html,,,,,,
Arizona Snowbowl,1,0,0,1,0,Arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,122,122,0,,,,,81,260,89,89,http://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,,,,,,
Sunrise Park Resort,0,0,0,0,0,Arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,104,109.5,1,80,,,,49,250,74,78,http://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html,,,Check fast eight lift info.,,,
Yosemite Ski & Snowboard Area,0,0,0,0,0,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,107,108.5,0,,,,,84,300,47,47,http://www.onthesnow.com/california/badger-pass/ski-resort.html,,,,,,
Bear Mountain,1,1,0,0,0,California,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198,198,122,130,126,1,,,,,76,100,89,99,http://www.onthesnow.com/california/bear-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Bear Valley,0,0,0,0,0,California,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680,100,165,151,158,0,,,,,52,359,99,99,http://www.onthesnow.com/california/bear-valley/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Boreal Mountain Resort,0,0,0,0,0,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,150,150,1,200,,,,54,400,74,79,http://www.onthesnow.com/california/boreal/ski-resort.html,,Check adult weekday price info.,,,,
Dodge Ridge,0,0,0,0,0,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,0,,140,140,0,,,,,69,350,78,78,http://www.onthesnow.com/california/dodge-ridge/ski-resort.html,,,,,,Check days info
